line_item_id,invoice_id,product_id,product_family_name,currency_code,line_amount,description,ticket_id
li_0026145,inv_024844,,PPR Charge,USD,375.00,PPR Charge for tkt_9829,tkt_9829
li_0013124,inv_013124,prod_4,WatchDog,USD,79.00,Premium (USD) subscription payment,
li_0011186,inv_011186,prod_4,WatchDog,USD,79.00,Premium (USD) subscription payment,
li_0000564,inv_000564,prod_4,WatchDog,USD,79.00,Premium (USD) subscription payment,
li_0018123,inv_018123,prod_4,WatchDog,USD,79.00,Premium (USD) subscription payment,
li_0017305,inv_017305,prod_4,WatchDog,USD,79.00,Premium (USD) subscription payment,
li_0018046,inv_018046,prod_2,WatchDog,AUD,99.00,Premium (AUD) subscription payment,
li_0013611,inv_013611,prod_4,WatchDog,USD,79.00,Premium (USD) subscription payment,
li_0001670,inv_001670,prod_4,WatchDog,USD,79.00,Premium (USD) subscription payment,
li_0017364,inv_017364,prod_2,WatchDog,AUD,99.00,Premium (AUD) subscription payment,
li_0012739,inv_012739,prod_2,WatchDog,AUD,99.00,Premium (AUD) subscription payment,
li_0017424,inv_017424,prod_4,WatchDog,USD,79.00,Premium (USD) subscription payment,
li_0003398,inv_003398,prod_4,WatchDog,USD,79.00,Premium (USD) subscription payment,
li_0006561,inv_006561,prod_4,WatchDog,USD,79.00,Premium (USD) subscription payment,
li_0015384,inv_015384,prod_4,WatchDog,USD,79.00,Premium (USD) subscription payment,
li_0001075,inv_001075,prod_3,WatchDog,USD,39.00,Basic (USD) subscription payment,
li_0007092,inv_007092,prod_2,WatchDog,AUD,99.00,Premium (AUD) subscription payment,
li_0010285,inv_010285,prod_4,WatchDog,USD,79.00,Premium (USD) subscription payment,
li_0033748,inv_028203,,PPR Charge,AUD,500.00,PPR Charge for tkt_34122,tkt_34122
li_0004758,inv_004758,prod_4,WatchDog,USD,79.00,Premium (USD) subscription payment,
li_0022888,inv_022888,prod_5,Retainer,AUD,700.00,Retainer subscription payment (MONTHLY),
li_0023049,inv_023049,prod_5,Retainer,AUD,1618.16,Retainer subscription payment (MONTHLY),
li_0014284,inv_014284,prod_4,WatchDog,USD,79.00,Premium (USD) subscription payment,
li_0016402,inv_016402,prod_4,WatchDog,USD,79.00,Premium (USD) subscription payment,
li_0011883,inv_011883,prod_2,WatchDog,AUD,99.00,Premium (AUD) subscription payment,
li_0016493,inv_016493,prod_2,WatchDog,AUD,99.00,Premium (AUD) subscription payment,
li_0017133,inv_017133,prod_2,WatchDog,AUD,99.00,Premium (AUD) subscription payment,
li_0005066,inv_005066,prod_2,WatchDog,AUD,99.00,Premium (AUD) subscription payment,
li_0016856,inv_016856,prod_4,WatchDog,USD,79.00,Premium (USD) subscription payment,
li_0014052,inv_014052,prod_4,WatchDog,USD,79.00,Premium (USD) subscription payment,
li_0023119,inv_023119,prod_6,Retainer,USD,1999.62,Retainer subscription payment (MONTHLY),
li_0022838,inv_022838,prod_5,Retainer,AUD,1290.35,Retainer subscription payment (MONTHLY),
li_0010224,inv_010224,prod_4,WatchDog,USD,79.00,Premium (USD) subscription payment,
li_0018162,inv_018162,prod_4,WatchDog,USD,79.00,Premium (USD) subscription payment,
li_0015461,inv_015461,prod_4,WatchDog,USD,79.00,Premium (USD) subscription payment,
li_0016510,inv_016510,prod_4,WatchDog,USD,79.00,Premium (USD) subscription payment,
li_0015806,inv_015806,prod_4,WatchDog,USD,79.00,Premium (USD) subscription payment,
li_0022787,inv_022787,prod_6,Retainer,USD,832.99,Retainer subscription payment (MONTHLY),
li_0022904,inv_022904,prod_6,Retainer,USD,700.00,Retainer subscription payment (MONTHLY),
li_0051208,inv_035384,,PPR Charge,AUD,500.00,PPR Charge for tkt_107906,tkt_107906
li_0017379,inv_017379,prod_4,WatchDog,USD,79.00,Premium (USD) subscription payment,
li_0016628,inv_016628,prod_4,WatchDog,USD,79.00,Premium (USD) subscription payment,
li_0000419,inv_000419,prod_4,WatchDog,USD,79.00,Premium (USD) subscription payment,
li_0012209,inv_012209,prod_4,WatchDog,USD,79.00,Premium (USD) subscription payment,
li_0013920,inv_013920,prod_4,WatchDog,USD,79.00,Premium (USD) subscription payment,
li_0007587,inv_007587,prod_4,WatchDog,USD,79.00,Premium (USD) subscription payment,
li_0014721,inv_014721,prod_2,WatchDog,AUD,99.00,Premium (AUD) subscription payment,
li_0000756,inv_000756,prod_4,WatchDog,USD,79.00,Premium (USD) subscription payment,
li_0017462,inv_017462,prod_4,WatchDog,USD,79.00,Premium (USD) subscription payment,
li_0018097,inv_018097,prod_4,WatchDog,USD,79.00,Premium (USD) subscription payment,
li_0046500,inv_033409,,PPR Charge,AUD,500.00,PPR Charge for tkt_98027,tkt_98027
li_0046501,inv_033409,,PPR Charge,AUD,500.00,PPR Charge for tkt_98026,tkt_98026
li_0008582,inv_008582,prod_3,WatchDog,USD,39.00,Basic (USD) subscription payment,
li_0017988,inv_017988,prod_2,WatchDog,AUD,99.00,Premium (AUD) subscription payment,
li_0015365,inv_015365,prod_2,WatchDog,AUD,99.00,Premium (AUD) subscription payment,
li_0023035,inv_023035,prod_5,Retainer,AUD,2093.81,Retainer subscription payment (MONTHLY),
li_0017282,inv_017282,prod_4,WatchDog,USD,79.00,Premium (USD) subscription payment,
li_0013335,inv_013335,prod_2,WatchDog,AUD,99.00,Premium (AUD) subscription payment,
li_0009776,inv_009776,prod_2,WatchDog,AUD,99.00,Premium (AUD) subscription payment,
li_0021538,inv_021538,prod_6,Retainer,USD,700.00,Retainer subscription payment (MONTHLY),
li_0010469,inv_010469,prod_3,WatchDog,USD,39.00,Basic (USD) subscription payment,
li_0016334,inv_016334,prod_4,WatchDog,USD,79.00,Premium (USD) subscription payment,
li_0010070,inv_010070,prod_2,WatchDog,AUD,99.00,Premium (AUD) subscription payment,
li_0003007,inv_003007,prod_2,WatchDog,AUD,99.00,Premium (AUD) subscription payment,
li_0009086,inv_009086,prod_4,WatchDog,USD,79.00,Premium (USD) subscription payment,
li_0009670,inv_009670,prod_2,WatchDog,AUD,99.00,Premium (AUD) subscription payment,
li_0014073,inv_014073,prod_4,WatchDog,USD,79.00,Premium (USD) subscription payment,
li_0023106,inv_023106,prod_6,Retainer,USD,2410.18,Retainer subscription payment (MONTHLY),
li_0004240,inv_004240,prod_3,WatchDog,USD,39.00,Basic (USD) subscription payment,
li_0021739,inv_021739,prod_5,Retainer,AUD,700.00,Retainer subscription payment (MONTHLY),
li_0013220,inv_013220,prod_4,WatchDog,USD,79.00,Premium (USD) subscription payment,
li_0017267,inv_017267,prod_4,WatchDog,USD,79.00,Premium (USD) subscription payment,
li_0005121,inv_005121,prod_4,WatchDog,USD,79.00,Premium (USD) subscription payment,
li_0006489,inv_006489,prod_2,WatchDog,AUD,99.00,Premium (AUD) subscription payment,
li_0012159,inv_012159,prod_4,WatchDog,USD,79.00,Premium (USD) subscription payment,
li_0013721,inv_013721,prod_4,WatchDog,USD,79.00,Premium (USD) subscription payment,
li_0022962,inv_022962,prod_6,Retainer,USD,2040.36,Retainer subscription payment (MONTHLY),
li_0017947,inv_017947,prod_2,WatchDog,AUD,99.00,Premium (AUD) subscription payment,
li_0012307,inv_012307,prod_2,WatchDog,AUD,99.00,Premium (AUD) subscription payment,
li_0006949,inv_006949,prod_2,WatchDog,AUD,99.00,Premium (AUD) subscription payment,
li_0016195,inv_016195,prod_4,WatchDog,USD,79.00,Premium (USD) subscription payment,
li_0037088,inv_029611,,PPR Charge,USD,375.00,PPR Charge for tkt_104358,tkt_104358
li_0018435,inv_018435,prod_4,WatchDog,USD,79.00,Premium (USD) subscription payment,
li_0009454,inv_009454,prod_4,WatchDog,USD,79.00,Premium (USD) subscription payment,
li_0028064,inv_025736,,PPR Charge,AUD,500.00,PPR Charge for tkt_16703,tkt_16703
li_0048267,inv_034129,,PPR Charge,USD,375.00,PPR Charge for tkt_92567,tkt_92567
li_0013435,inv_013435,prod_4,WatchDog,USD,79.00,Premium (USD) subscription payment,
li_0017612,inv_017612,prod_2,WatchDog,AUD,99.00,Premium (AUD) subscription payment,
li_0022064,inv_022064,prod_6,Retainer,USD,765.92,Retainer subscription payment (MONTHLY),
li_0051153,inv_035364,,PPR Charge,USD,375.00,PPR Charge for tkt_107672,tkt_107672
li_0022262,inv_022262,prod_6,Retainer,USD,4040.94,Retainer subscription payment (MONTHLY),
li_0012134,inv_012134,prod_4,WatchDog,USD,79.00,Premium (USD) subscription payment,
li_0016984,inv_016984,prod_4,WatchDog,USD,79.00,Premium (USD) subscription payment,
li_0022682,inv_022682,prod_5,Retainer,AUD,5509.97,Retainer subscription payment (MONTHLY),
li_0005405,inv_005405,prod_4,WatchDog,USD,79.00,Premium (USD) subscription payment,
li_0012358,inv_012358,prod_4,WatchDog,USD,79.00,Premium (USD) subscription payment,
li_0025026,inv_024260,,PPR Charge,AUD,500.00,PPR Charge for tkt_77119,tkt_77119
li_0008905,inv_008905,prod_4,WatchDog,USD,79.00,Premium (USD) subscription payment,
li_0050933,inv_035273,,PPR Charge,USD,375.00,PPR Charge for tkt_106742,tkt_106742
li_0050934,inv_035273,,PPR Charge,USD,375.00,PPR Charge for tkt_106747,tkt_106747
li_0010748,inv_010748,prod_4,WatchDog,USD,79.00,Premium (USD) subscription payment,
li_0013368,inv_013368,prod_4,WatchDog,USD,79.00,Premium (USD) subscription payment,
li_0021884,inv_021884,prod_6,Retainer,USD,700.00,Retainer subscription payment (MONTHLY),
li_0045287,inv_032919,,PPR Charge,USD,375.00,PPR Charge for tkt_78514,tkt_78514
li_0015435,inv_015435,prod_3,WatchDog,USD,39.00,Basic (USD) subscription payment,
li_0018331,inv_018331,prod_4,WatchDog,USD,79.00,Premium (USD) subscription payment,
li_0054830,inv_036771,,PPR Charge,USD,375.00,PPR Charge for tkt_124879,tkt_124879
li_0054831,inv_036771,,PPR Charge,USD,375.00,PPR Charge for tkt_124816,tkt_124816
li_0054832,inv_036771,,PPR Charge,USD,375.00,PPR Charge for tkt_124865,tkt_124865
li_0013677,inv_013677,prod_4,WatchDog,USD,79.00,Premium (USD) subscription payment,
li_0005581,inv_005581,prod_4,WatchDog,USD,79.00,Premium (USD) subscription payment,
li_0009042,inv_009042,prod_4,WatchDog,USD,79.00,Premium (USD) subscription payment,
li_0022419,inv_022419,prod_5,Retainer,AUD,1807.86,Retainer subscription payment (MONTHLY),
li_0022390,inv_022390,prod_6,Retainer,USD,992.01,Retainer subscription payment (MONTHLY),
li_0012514,inv_012514,prod_4,WatchDog,USD,79.00,Premium (USD) subscription payment,
li_0007417,inv_007417,prod_2,WatchDog,AUD,99.00,Premium (AUD) subscription payment,
li_0054761,inv_036740,,PPR Charge,AUD,500.00,PPR Charge for tkt_124596,tkt_124596
li_0054762,inv_036740,,PPR Charge,AUD,500.00,PPR Charge for tkt_124588,tkt_124588
li_0054763,inv_036740,,PPR Charge,AUD,500.00,PPR Charge for tkt_124617,tkt_124617
li_0051680,inv_035566,,PPR Charge,AUD,500.00,PPR Charge for tkt_110126,tkt_110126
li_0022990,inv_022990,prod_6,Retainer,USD,700.00,Retainer subscription payment (MONTHLY),
li_0012434,inv_012434,prod_4,WatchDog,USD,79.00,Premium (USD) subscription payment,
li_0049480,inv_034636,,PPR Charge,AUD,500.00,PPR Charge for tkt_99170,tkt_99170
li_0052696,inv_035965,,PPR Charge,AUD,500.00,PPR Charge for tkt_114778,tkt_114778
li_0008117,inv_008117,prod_4,WatchDog,USD,79.00,Premium (USD) subscription payment,
li_0017394,inv_017394,prod_4,WatchDog,USD,79.00,Premium (USD) subscription payment,
li_0022930,inv_022930,prod_6,Retainer,USD,3941.64,Retainer subscription payment (MONTHLY),
li_0000269,inv_000269,prod_4,WatchDog,USD,79.00,Premium (USD) subscription payment,
li_0000490,inv_000490,prod_4,WatchDog,USD,79.00,Premium (USD) subscription payment,
li_0012828,inv_012828,prod_2,WatchDog,AUD,99.00,Premium (AUD) subscription payment,
li_0007485,inv_007485,prod_4,WatchDog,USD,79.00,Premium (USD) subscription payment,
li_0010041,inv_010041,prod_4,WatchDog,USD,79.00,Premium (USD) subscription payment,
li_0017696,inv_017696,prod_4,WatchDog,USD,79.00,Premium (USD) subscription payment,
li_0022614,inv_022614,prod_6,Retainer,USD,2123.51,Retainer subscription payment (MONTHLY),
li_0016087,inv_016087,prod_2,WatchDog,AUD,99.00,Premium (AUD) subscription payment,
li_0013266,inv_013266,prod_4,WatchDog,USD,79.00,Premium (USD) subscription payment,
li_0002137,inv_002137,prod_4,WatchDog,USD,79.00,Premium (USD) subscription payment,
li_0011298,inv_011298,prod_2,WatchDog,AUD,99.00,Premium (AUD) subscription payment,
li_0018214,inv_018214,prod_3,WatchDog,USD,39.00,Basic (USD) subscription payment,
li_0013787,inv_013787,prod_4,WatchDog,USD,79.00,Premium (USD) subscription payment,
li_0009379,inv_009379,prod_2,WatchDog,AUD,99.00,Premium (AUD) subscription payment,
li_0017763,inv_017763,prod_4,WatchDog,USD,79.00,Premium (USD) subscription payment,
li_0000025,inv_000025,prod_4,WatchDog,USD,79.00,Premium (USD) subscription payment,
li_0013633,inv_013633,prod_2,WatchDog,AUD,99.00,Premium (AUD) subscription payment,
li_0006984,inv_006984,prod_4,WatchDog,USD,79.00,Premium (USD) subscription payment,
li_0009900,inv_009900,prod_4,WatchDog,USD,79.00,Premium (USD) subscription payment,
li_0002197,inv_002197,prod_4,WatchDog,USD,79.00,Premium (USD) subscription payment,
li_0010811,inv_010811,prod_4,WatchDog,USD,79.00,Premium (USD) subscription payment,
li_0014010,inv_014010,prod_4,WatchDog,USD,79.00,Premium (USD) subscription payment,
li_0022821,inv_022821,prod_5,Retainer,AUD,750.27,Retainer subscription payment (MONTHLY),
li_0000345,inv_000345,prod_4,WatchDog,USD,79.00,Premium (USD) subscription payment,
li_0031202,inv_027195,,PPR Charge,AUD,500.00,PPR Charge for tkt_27529,tkt_27529
li_0031203,inv_027195,,PPR Charge,AUD,500.00,PPR Charge for tkt_27532,tkt_27532
li_0016229,inv_016229,prod_2,WatchDog,AUD,99.00,Premium (AUD) subscription payment,
li_0055280,inv_036948,,PPR Charge,AUD,500.00,PPR Charge for tkt_126813,tkt_126813
li_0055281,inv_036948,,PPR Charge,AUD,500.00,PPR Charge for tkt_126802,tkt_126802
li_0055282,inv_036948,,PPR Charge,AUD,500.00,PPR Charge for tkt_126808,tkt_126808
li_0055283,inv_036948,,PPR Charge,AUD,500.00,PPR Charge for tkt_126762,tkt_126762
li_0017668,inv_017668,prod_2,WatchDog,AUD,99.00,Premium (AUD) subscription payment,
li_0015499,inv_015499,prod_4,WatchDog,USD,79.00,Premium (USD) subscription payment,
li_0021446,inv_021446,prod_5,Retainer,AUD,2856.34,Retainer subscription payment (MONTHLY),
li_0006173,inv_006173,prod_5,Retainer,AUD,400.00,Retainer Paid Monthly (AUD) subscription payment,
li_0009484,inv_009484,prod_2,WatchDog,AUD,99.00,Premium (AUD) subscription payment,
li_0010521,inv_010521,prod_4,WatchDog,USD,79.00,Premium (USD) subscription payment,
li_0016560,inv_016560,prod_2,WatchDog,AUD,99.00,Premium (AUD) subscription payment,
li_0017032,inv_017032,prod_4,WatchDog,USD,79.00,Premium (USD) subscription payment,
li_0039915,inv_030755,,PPR Charge,AUD,500.00,PPR Charge for tkt_123536,tkt_123536
li_0039916,inv_030755,,PPR Charge,AUD,500.00,PPR Charge for tkt_123689,tkt_123689
li_0039917,inv_030755,,PPR Charge,AUD,500.00,PPR Charge for tkt_123721,tkt_123721
li_0004897,inv_004897,prod_2,WatchDog,AUD,99.00,Premium (AUD) subscription payment,
li_0006044,inv_006044,prod_6,Retainer,USD,1094.50,Retainer Paid Monthly (USD) subscription payment,
li_0023077,inv_023077,prod_6,Retainer,USD,888.92,Retainer subscription payment (MONTHLY),
li_0022506,inv_022506,prod_6,Retainer,USD,3634.16,Retainer subscription payment (MONTHLY),
li_0016760,inv_016760,prod_4,WatchDog,USD,79.00,Premium (USD) subscription payment,
li_0009709,inv_009709,prod_4,WatchDog,USD,79.00,Premium (USD) subscription payment,
li_0050848,inv_035235,,PPR Charge,USD,375.00,PPR Charge for tkt_105840,tkt_105840
li_0002395,inv_002395,prod_2,WatchDog,AUD,99.00,Premium (AUD) subscription payment,
li_0014701,inv_014701,prod_2,WatchDog,AUD,99.00,Premium (AUD) subscription payment,
li_0029759,inv_026502,,PPR Charge,USD,375.00,PPR Charge for tkt_127513,tkt_127513
li_0029760,inv_026502,,PPR Charge,USD,375.00,PPR Charge for tkt_127531,tkt_127531
li_0029761,inv_026502,,PPR Charge,USD,375.00,PPR Charge for tkt_127501,tkt_127501
li_0029762,inv_026502,,PPR Charge,USD,375.00,PPR Charge for tkt_127450,tkt_127450
li_0029763,inv_026502,,PPR Charge,USD,375.00,PPR Charge for tkt_127554,tkt_127554
li_0029764,inv_026502,,PPR Charge,USD,375.00,PPR Charge for tkt_127568,tkt_127568
li_0029765,inv_026502,,PPR Charge,USD,375.00,PPR Charge for tkt_127512,tkt_127512
li_0029766,inv_026502,,PPR Charge,USD,375.00,PPR Charge for tkt_127572,tkt_127572
li_0029767,inv_026502,,PPR Charge,USD,375.00,PPR Charge for tkt_127468,tkt_127468
li_0029768,inv_026502,,PPR Charge,USD,375.00,PPR Charge for tkt_127478,tkt_127478
li_0010583,inv_010583,prod_2,WatchDog,AUD,99.00,Premium (AUD) subscription payment,
li_0013567,inv_013567,prod_4,WatchDog,USD,79.00,Premium (USD) subscription payment,
li_0005910,inv_005910,prod_5,Retainer,AUD,700.00,Retainer Paid Monthly (AUD) subscription payment,
li_0017724,inv_017724,prod_4,WatchDog,USD,79.00,Premium (USD) subscription payment,
li_0001744,inv_001744,prod_2,WatchDog,AUD,99.00,Premium (AUD) subscription payment,
li_0013833,inv_013833,prod_4,WatchDog,USD,79.00,Premium (USD) subscription payment,
li_0051301,inv_035417,,PPR Charge,USD,375.00,PPR Charge for tkt_108412,tkt_108412
li_0003841,inv_003841,prod_4,WatchDog,USD,79.00,Premium (USD) subscription payment,
li_0015788,inv_015788,prod_4,WatchDog,USD,79.00,Premium (USD) subscription payment,
li_0016249,inv_016249,prod_4,WatchDog,USD,79.00,Premium (USD) subscription payment,
li_0014596,inv_014596,prod_2,WatchDog,AUD,99.00,Premium (AUD) subscription payment,
li_0007670,inv_007670,prod_4,WatchDog,USD,79.00,Premium (USD) subscription payment,
li_0008280,inv_008280,prod_4,WatchDog,USD,79.00,Premium (USD) subscription payment,
li_0013052,inv_013052,prod_4,WatchDog,USD,79.00,Premium (USD) subscription payment,
li_0016317,inv_016317,prod_2,WatchDog,AUD,99.00,Premium (AUD) subscription payment,
li_0016212,inv_016212,prod_4,WatchDog,USD,79.00,Premium (USD) subscription payment,
li_0017252,inv_017252,prod_2,WatchDog,AUD,99.00,Premium (AUD) subscription payment,
li_0007621,inv_007621,prod_2,WatchDog,AUD,99.00,Premium (AUD) subscription payment,
li_0013413,inv_013413,prod_4,WatchDog,USD,79.00,Premium (USD) subscription payment,
li_0011754,inv_011754,prod_4,WatchDog,USD,79.00,Premium (USD) subscription payment,
li_0022625,inv_022625,prod_5,Retainer,AUD,3243.13,Retainer subscription payment (MONTHLY),
li_0008183,inv_008183,prod_4,WatchDog,USD,79.00,Premium (USD) subscription payment,
li_0010370,inv_010370,prod_5,Retainer,AUD,2256.70,Retainer Paid Monthly (AUD) subscription payment,
li_0022644,inv_022644,prod_5,Retainer,AUD,4364.34,Retainer subscription payment (MONTHLY),
li_0016904,inv_016904,prod_2,WatchDog,AUD,99.00,Premium (AUD) subscription payment,
li_0016840,inv_016840,prod_4,WatchDog,USD,79.00,Premium (USD) subscription payment,
li_0012458,inv_012458,prod_4,WatchDog,USD,79.00,Premium (USD) subscription payment,
li_0014263,inv_014263,prod_2,WatchDog,AUD,99.00,Premium (AUD) subscription payment,
li_0011806,inv_011806,prod_4,WatchDog,USD,79.00,Premium (USD) subscription payment,
li_0012922,inv_012922,prod_4,WatchDog,USD,79.00,Premium (USD) subscription payment,
li_0002432,inv_002432,prod_2,WatchDog,AUD,99.00,Premium (AUD) subscription payment,
li_0012331,inv_012331,prod_4,WatchDog,USD,79.00,Premium (USD) subscription payment,
li_0028435,inv_025913,,PPR Charge,AUD,500.00,PPR Charge for tkt_89629,tkt_89629
li_0028436,inv_025913,,PPR Charge,AUD,500.00,PPR Charge for tkt_89628,tkt_89628
li_0021847,inv_021847,prod_6,Retainer,USD,1021.97,Retainer subscription payment (MONTHLY),
li_0004971,inv_004971,prod_4,WatchDog,USD,79.00,Premium (USD) subscription payment,
li_0023135,inv_023135,prod_8,Retainer,USD,8400.00,Retainer subscription payment (YEARLY),
li_0015210,inv_015210,prod_2,WatchDog,AUD,99.00,Premium (AUD) subscription payment,
li_0010660,inv_010660,prod_4,WatchDog,USD,79.00,Premium (USD) subscription payment,
li_0008051,inv_008051,prod_2,WatchDog,AUD,99.00,Premium (AUD) subscription payment,
li_0013699,inv_013699,prod_2,WatchDog,AUD,99.00,Premium (AUD) subscription payment,
li_0005316,inv_005316,prod_3,WatchDog,USD,39.00,Basic (USD) subscription payment,
li_0010839,inv_010839,prod_4,WatchDog,USD,79.00,Premium (USD) subscription payment,
li_0004052,inv_004052,prod_4,WatchDog,USD,79.00,Premium (USD) subscription payment,
li_0046633,inv_033464,,PPR Charge,USD,375.00,PPR Charge for tkt_84775,tkt_84775
li_0012109,inv_012109,prod_4,WatchDog,USD,79.00,Premium (USD) subscription payment,
li_0000953,inv_000953,prod_2,WatchDog,AUD,99.00,Premium (AUD) subscription payment,
li_0038563,inv_030230,,PPR Charge,USD,375.00,PPR Charge for tkt_51454,tkt_51454
li_0002234,inv_002234,prod_1,WatchDog,AUD,49.00,Basic (AUD) subscription payment,
li_0023091,inv_023091,prod_6,Retainer,USD,1238.52,Retainer subscription payment (MONTHLY),
li_0053715,inv_036337,,PPR Charge,AUD,500.00,PPR Charge for tkt_119318,tkt_119318
li_0011476,inv_011476,prod_2,WatchDog,AUD,99.00,Premium (AUD) subscription payment,
li_0014541,inv_014541,prod_2,WatchDog,AUD,99.00,Premium (AUD) subscription payment,
li_0011265,inv_011265,prod_4,WatchDog,USD,79.00,Premium (USD) subscription payment,
li_0015878,inv_015878,prod_2,WatchDog,AUD,99.00,Premium (AUD) subscription payment,
li_0015960,inv_015960,prod_4,WatchDog,USD,79.00,Premium (USD) subscription payment,
li_0002267,inv_002267,prod_2,WatchDog,AUD,99.00,Premium (AUD) subscription payment,
li_0015159,inv_015159,prod_2,WatchDog,AUD,99.00,Premium (AUD) subscription payment,
li_0011700,inv_011700,prod_2,WatchDog,AUD,99.00,Premium (AUD) subscription payment,
li_0015179,inv_015179,prod_4,WatchDog,USD,79.00,Premium (USD) subscription payment,
li_0017835,inv_017835,prod_4,WatchDog,USD,79.00,Premium (USD) subscription payment,
li_0055400,inv_036996,,PPR Charge,AUD,500.00,PPR Charge for tkt_127301,tkt_127301
li_0055401,inv_036996,,PPR Charge,AUD,500.00,PPR Charge for tkt_127328,tkt_127328
li_0055402,inv_036996,,PPR Charge,AUD,500.00,PPR Charge for tkt_127292,tkt_127292
li_0055403,inv_036996,,PPR Charge,AUD,500.00,PPR Charge for tkt_127320,tkt_127320
li_0055404,inv_036996,,PPR Charge,AUD,500.00,PPR Charge for tkt_127265,tkt_127265
li_0055405,inv_036996,,PPR Charge,AUD,500.00,PPR Charge for tkt_127277,tkt_127277
li_0055406,inv_036996,,PPR Charge,AUD,500.00,PPR Charge for tkt_127290,tkt_127290
li_0055407,inv_036996,,PPR Charge,AUD,500.00,PPR Charge for tkt_127300,tkt_127300
li_0055408,inv_036996,,PPR Charge,AUD,500.00,PPR Charge for tkt_127251,tkt_127251
li_0055409,inv_036996,,PPR Charge,AUD,500.00,PPR Charge for tkt_127267,tkt_127267
li_0018240,inv_018240,prod_4,WatchDog,USD,79.00,Premium (USD) subscription payment,
li_0022663,inv_022663,prod_5,Retainer,AUD,1390.17,Retainer subscription payment (MONTHLY),
li_0029996,inv_026607,,PPR Charge,USD,375.00,PPR Charge for tkt_83871,tkt_83871
li_0021804,inv_021804,prod_5,Retainer,AUD,807.39,Retainer subscription payment (MONTHLY),
li_0009296,inv_009296,prod_4,WatchDog,USD,79.00,Premium (USD) subscription payment,
li_0044234,inv_032486,,PPR Charge,USD,375.00,PPR Charge for tkt_73714,tkt_73714
li_0008825,inv_008825,prod_2,WatchDog,AUD,99.00,Premium (AUD) subscription payment,
li_0007237,inv_007237,prod_1,WatchDog,AUD,49.00,Basic (AUD) subscription payment,
li_0002674,inv_002674,prod_2,WatchDog,AUD,99.00,Premium (AUD) subscription payment,
li_0005755,inv_005755,prod_1,WatchDog,AUD,49.00,Basic (AUD) subscription payment,
li_0017791,inv_017791,prod_4,WatchDog,USD,79.00,Premium (USD) subscription payment,
li_0009842,inv_009842,prod_2,WatchDog,AUD,99.00,Premium (AUD) subscription payment,
li_0006635,inv_006635,prod_2,WatchDog,AUD,99.00,Premium (AUD) subscription payment,
li_0013075,inv_013075,prod_4,WatchDog,USD,79.00,Premium (USD) subscription payment,
