ticket_id,created_at,last_updated,customer_id,removal_status,platform,successfully_removed_date,price_for_successful_removal,currency,billing_type
tkt_104560,2025-11-06 00:00:00,2025-11-30 00:00:00,cust_000733,Unsuccessful,Glassdoor,,375.00,USD,Pay Per Removal
tkt_104803,2025-07-16 00:00:00,2025-07-20 00:00:00,cust_000734,Unsuccessful,Glassdoor,,375.00,USD,Pay Per Removal
tkt_104813,2025-09-20 00:00:00,2025-10-10 00:00:00,cust_000734,Unsuccessful,Google,,375.00,USD,Pay Per Removal
tkt_104823,2025-11-07 00:00:00,2026-01-24 00:00:00,cust_000734,In Progress,Google,,375.00,USD,Pay Per Removal
tkt_104833,2025-12-31 00:00:00,2026-01-03 00:00:00,cust_000734,Not Started,Google,,375.00,USD,Pay Per Removal
tkt_104843,2026-01-21 00:00:00,2026-01-22 00:00:00,cust_000734,In Progress,Glassdoor,,375.00,USD,Pay Per Removal
tkt_105009,2025-10-30 00:00:00,2025-10-31 00:00:00,cust_000735,Not Started,Glassdoor,,375.00,USD,Pay Per Removal
tkt_105019,2025-12-21 00:00:00,2026-01-28 00:00:00,cust_000735,Unsuccessful,Other,,375.00,USD,Pay Per Removal
tkt_105175,2025-07-07 00:00:00,2025-07-12 00:00:00,cust_000736,Unsuccessful,Google,,375.00,USD,Pay Per Removal
tkt_105185,2025-11-30 00:00:00,2025-12-03 00:00:00,cust_000736,Successful,Google,2025-12-03 00:00:00,375.00,USD,Pay Per Removal
tkt_105492,2025-07-20 00:00:00,2025-08-27 00:00:00,cust_000738,Unsuccessful,Google,,500.00,AUD,Pay Per Removal
tkt_105502,2025-08-05 00:00:00,2025-08-12 00:00:00,cust_000738,Unsuccessful,Google,,500.00,AUD,Pay Per Removal
tkt_105512,2025-09-26 00:00:00,2025-10-20 00:00:00,cust_000738,Unsuccessful,Other,,500.00,AUD,Pay Per Removal
tkt_105522,2025-10-08 00:00:00,2025-10-08 00:00:00,cust_000738,Not Started,Google,,500.00,AUD,Pay Per Removal
tkt_105532,2025-12-10 00:00:00,2025-12-12 00:00:00,cust_000738,Not Started,Google,,500.00,AUD,Pay Per Removal
tkt_105635,2025-08-30 00:00:00,2025-09-10 00:00:00,cust_000739,Unsuccessful,Google,,500.00,AUD,Pay Per Removal
tkt_105907,2025-07-06 00:00:00,2025-08-20 00:00:00,cust_000740,Unsuccessful,Google,,375.00,USD,Pay Per Removal
tkt_105917,2025-08-22 00:00:00,2025-09-21 00:00:00,cust_000740,Unsuccessful,Google,,375.00,USD,Pay Per Removal
tkt_105927,2025-10-06 00:00:00,2025-10-12 00:00:00,cust_000740,Unsuccessful,Google,,375.00,USD,Pay Per Removal
tkt_105937,2025-11-24 00:00:00,2026-01-15 00:00:00,cust_000740,In Progress,Google,,375.00,USD,Pay Per Removal
tkt_105947,2026-01-11 00:00:00,2026-01-13 00:00:00,cust_000740,Not Started,Google,,375.00,USD,Pay Per Removal
tkt_106102,2025-11-20 00:00:00,2026-01-15 00:00:00,cust_000337,In Progress,Google,,375.00,USD,Pay Per Removal
tkt_106253,2025-09-17 00:00:00,2025-09-23 00:00:00,cust_000094,Unsuccessful,Google,,375.00,USD,Pay Per Removal
tkt_106263,2026-01-19 00:00:00,2026-01-22 00:00:00,cust_000094,Not Started,Other,,375.00,USD,Pay Per Removal
tkt_106509,2025-07-03 00:00:00,2025-07-03 00:00:00,cust_000261,Not Started,Glassdoor,,375.00,USD,Pay Per Removal
tkt_106519,2025-09-19 00:00:00,2025-09-22 00:00:00,cust_000261,Unsuccessful,Other,,375.00,USD,Pay Per Removal
tkt_106529,2025-11-28 00:00:00,2025-11-30 00:00:00,cust_000261,Not Started,Google,,375.00,USD,Pay Per Removal
tkt_106539,2026-01-29 00:00:00,2026-01-30 00:00:00,cust_000261,In Progress,Google,,375.00,USD,Pay Per Removal
tkt_106778,2025-07-22 00:00:00,2025-08-13 00:00:00,cust_000749,Unsuccessful,Google,,375.00,USD,Pay Per Removal
tkt_106788,2025-09-09 00:00:00,2025-09-27 00:00:00,cust_000749,Unsuccessful,Google,,375.00,USD,Pay Per Removal
tkt_106798,2025-12-31 00:00:00,2026-01-27 00:00:00,cust_000749,In Progress,Google,,375.00,USD,Pay Per Removal
tkt_107147,2025-07-30 00:00:00,2025-07-31 00:00:00,cust_000751,Not Started,Google,,375.00,USD,Pay Per Removal
tkt_107157,2025-08-17 00:00:00,2025-09-04 00:00:00,cust_000751,Unsuccessful,Glassdoor,,375.00,USD,Pay Per Removal
tkt_107167,2025-09-20 00:00:00,2025-10-11 00:00:00,cust_000751,Unsuccessful,Google,,375.00,USD,Pay Per Removal
tkt_107177,2025-12-18 00:00:00,2025-12-21 00:00:00,cust_000751,Not Started,Google,,375.00,USD,Pay Per Removal
tkt_107251,2025-12-24 00:00:00,2025-12-30 00:00:00,cust_000752,Unsuccessful,Google,,375.00,USD,Pay Per Removal
tkt_107551,2025-07-28 00:00:00,2025-07-31 00:00:00,cust_000754,Unsuccessful,Google,,375.00,USD,Pay Per Removal
tkt_107561,2025-09-27 00:00:00,2025-09-28 00:00:00,cust_000754,Successful,Google,2025-09-28 00:00:00,375.00,USD,Pay Per Removal
tkt_107571,2025-11-13 00:00:00,2025-11-16 00:00:00,cust_000754,Unsuccessful,Other,,375.00,USD,Pay Per Removal
tkt_107684,2025-07-25 00:00:00,2025-07-29 00:00:00,cust_000755,Unsuccessful,Other,,375.00,USD,Pay Per Removal
tkt_107826,2025-08-17 00:00:00,2025-08-28 00:00:00,cust_000756,Unsuccessful,Google,,500.00,AUD,Pay Per Removal
tkt_107836,2025-11-01 00:00:00,2025-11-06 00:00:00,cust_000756,Unsuccessful,Google,,500.00,AUD,Pay Per Removal
tkt_107916,2025-11-23 00:00:00,2025-12-10 00:00:00,cust_000757,Successful,Google,2025-12-10 00:00:00,500.00,AUD,Pay Per Removal
tkt_108428,2025-10-20 00:00:00,2025-11-17 00:00:00,cust_000762,Successful,Glassdoor,2025-11-17 00:00:00,375.00,USD,Pay Per Removal
tkt_108739,2025-07-27 00:00:00,2025-08-25 00:00:00,cust_000764,Unsuccessful,Google,,375.00,USD,Pay Per Removal
tkt_108748,2025-09-29 00:00:00,2025-10-01 00:00:00,cust_000764,Not Started,Glassdoor,,375.00,USD,Pay Per Removal
tkt_108757,2025-11-06 00:00:00,2025-11-09 00:00:00,cust_000764,Not Started,Glassdoor,,375.00,USD,Pay Per Removal
tkt_108767,2025-12-03 00:00:00,2025-12-08 00:00:00,cust_000764,Successful,Glassdoor,2025-12-08 00:00:00,375.00,USD,Pay Per Removal
tkt_108905,2025-07-24 00:00:00,2025-08-11 00:00:00,cust_000765,Successful,Google,2025-08-11 00:00:00,500.00,AUD,Pay Per Removal
tkt_108915,2025-10-20 00:00:00,2025-11-07 00:00:00,cust_000765,Unsuccessful,Other,,500.00,AUD,Pay Per Removal
tkt_108925,2026-01-13 00:00:00,2026-01-15 00:00:00,cust_000765,Not Started,Other,,500.00,AUD,Pay Per Removal
tkt_109113,2025-07-18 00:00:00,2025-08-03 00:00:00,cust_000766,Unsuccessful,Google,,500.00,AUD,Pay Per Removal
tkt_109123,2025-09-10 00:00:00,2025-10-08 00:00:00,cust_000766,Unsuccessful,Google,,500.00,AUD,Pay Per Removal
tkt_109133,2025-10-28 00:00:00,2025-11-17 00:00:00,cust_000766,Unsuccessful,Google,,500.00,AUD,Pay Per Removal
tkt_109143,2025-12-02 00:00:00,2025-12-27 00:00:00,cust_000766,Unsuccessful,Google,,500.00,AUD,Pay Per Removal
tkt_109390,2025-07-28 00:00:00,2025-07-31 00:00:00,cust_000769,Unsuccessful,Glassdoor,,375.00,USD,Pay Per Removal
tkt_109674,2025-07-22 00:00:00,2025-08-20 00:00:00,cust_000770,Unsuccessful,Glassdoor,,375.00,USD,Pay Per Removal
tkt_109684,2025-08-16 00:00:00,2025-08-20 00:00:00,cust_000770,Unsuccessful,Google,,375.00,USD,Pay Per Removal
tkt_109694,2025-10-29 00:00:00,2025-11-12 00:00:00,cust_000770,Successful,Other,2025-11-12 00:00:00,375.00,USD,Pay Per Removal
tkt_109704,2025-11-03 00:00:00,2026-01-17 00:00:00,cust_000770,In Progress,Glassdoor,,375.00,USD,Pay Per Removal
tkt_109714,2025-12-29 00:00:00,2026-01-01 00:00:00,cust_000770,Not Started,Google,,375.00,USD,Pay Per Removal
tkt_109949,2025-07-29 00:00:00,2025-08-25 00:00:00,cust_000771,Unsuccessful,Other,,500.00,AUD,Pay Per Removal
tkt_109959,2025-07-20 00:00:00,2025-08-04 00:00:00,cust_000771,Unsuccessful,Other,,500.00,AUD,Pay Per Removal
tkt_109969,2025-09-26 00:00:00,2025-10-06 00:00:00,cust_000771,Unsuccessful,Google,,500.00,AUD,Pay Per Removal
tkt_109979,2025-11-07 00:00:00,2025-12-01 00:00:00,cust_000771,Unsuccessful,Glassdoor,,500.00,AUD,Pay Per Removal
tkt_109989,2026-01-27 00:00:00,2026-01-28 00:00:00,cust_000771,In Progress,Google,,500.00,AUD,Pay Per Removal
tkt_110163,2025-09-18 00:00:00,2025-10-08 00:00:00,cust_000772,Unsuccessful,Google,,500.00,AUD,Pay Per Removal
tkt_110173,2025-10-02 00:00:00,2025-10-07 00:00:00,cust_000772,Successful,Google,2025-10-07 00:00:00,500.00,AUD,Pay Per Removal
tkt_110183,2025-11-22 00:00:00,2025-11-25 00:00:00,cust_000772,Not Started,Other,,500.00,AUD,Pay Per Removal
tkt_110193,2026-01-05 00:00:00,2026-01-09 00:00:00,cust_000772,Unsuccessful,Google,,500.00,AUD,Pay Per Removal
tkt_110333,2025-08-05 00:00:00,2025-08-08 00:00:00,cust_000773,Not Started,Other,,375.00,USD,Pay Per Removal
tkt_110343,2025-11-23 00:00:00,2025-12-23 00:00:00,cust_000773,Unsuccessful,Google,,375.00,USD,Pay Per Removal
tkt_110416,2025-11-23 00:00:00,2026-01-06 00:00:00,cust_000774,Unsuccessful,Google,,375.00,USD,Pay Per Removal
tkt_110591,2026-01-11 00:00:00,2026-01-22 00:00:00,cust_000775,In Progress,Other,,375.00,USD,Pay Per Removal
tkt_110728,2025-09-19 00:00:00,2025-09-27 00:00:00,cust_000776,Unsuccessful,Google,,375.00,USD,Pay Per Removal
tkt_110738,2025-12-16 00:00:00,2025-12-23 00:00:00,cust_000776,Successful,Google,2025-12-23 00:00:00,375.00,USD,Pay Per Removal
tkt_110828,2025-07-13 00:00:00,2025-07-16 00:00:00,cust_000783,Unsuccessful,Other,,375.00,USD,Pay Per Removal
tkt_110979,2025-08-31 00:00:00,2025-09-22 00:00:00,cust_000784,Unsuccessful,Other,,500.00,AUD,Pay Per Removal
tkt_110989,2025-10-13 00:00:00,2026-01-16 00:00:00,cust_000784,In Progress,Google,,500.00,AUD,Pay Per Removal
tkt_110999,2025-12-01 00:00:00,2025-12-03 00:00:00,cust_000784,Not Started,Other,,500.00,AUD,Pay Per Removal
tkt_111173,2025-09-19 00:00:00,2025-10-12 00:00:00,cust_000786,Unsuccessful,Glassdoor,,375.00,USD,Pay Per Removal
tkt_11134,2025-08-22 00:00:00,2025-08-23 00:00:00,cust_000082,Unsuccessful,Google,,500.00,AUD,Pay Per Removal
tkt_11138,2025-09-28 00:00:00,2026-01-20 00:00:00,cust_000082,In Progress,Other,,500.00,AUD,Pay Per Removal
tkt_111446,2025-12-20 00:00:00,2026-01-21 00:00:00,cust_000788,In Progress,Google,,375.00,USD,Pay Per Removal
tkt_111510,2025-08-11 00:00:00,2025-08-28 00:00:00,cust_000789,Unsuccessful,Other,,500.00,AUD,Pay Per Removal
tkt_111575,2025-11-23 00:00:00,2026-01-26 00:00:00,cust_000022,In Progress,Google,,375.00,USD,Pay Per Removal
tkt_111874,2025-07-22 00:00:00,2025-08-05 00:00:00,cust_000791,Unsuccessful,Google,,375.00,USD,Pay Per Removal
tkt_111884,2025-09-21 00:00:00,2025-10-06 00:00:00,cust_000791,Unsuccessful,Google,,375.00,USD,Pay Per Removal
tkt_111894,2025-11-21 00:00:00,2025-11-23 00:00:00,cust_000791,Unsuccessful,Google,,375.00,USD,Pay Per Removal
tkt_111904,2025-12-13 00:00:00,2025-12-16 00:00:00,cust_000791,Not Started,Glassdoor,,375.00,USD,Pay Per Removal
tkt_112028,2025-07-12 00:00:00,2025-07-17 00:00:00,cust_000792,Unsuccessful,Google,,500.00,AUD,Pay Per Removal
tkt_112038,2025-09-24 00:00:00,2025-10-04 00:00:00,cust_000792,Unsuccessful,Google,,500.00,AUD,Pay Per Removal
tkt_112048,2025-10-30 00:00:00,2025-11-30 00:00:00,cust_000792,Successful,Google,2025-11-30 00:00:00,500.00,AUD,Pay Per Removal
tkt_112058,2026-01-07 00:00:00,2026-01-23 00:00:00,cust_000792,In Progress,Google,,500.00,AUD,Pay Per Removal
tkt_112160,2025-12-30 00:00:00,2026-01-01 00:00:00,cust_000793,Not Started,Google,,375.00,USD,Pay Per Removal
tkt_112376,2025-09-16 00:00:00,2025-09-19 00:00:00,cust_000795,Successful,Google,2025-09-19 00:00:00,375.00,USD,Pay Per Removal
tkt_112386,2025-12-03 00:00:00,2026-01-26 00:00:00,cust_000795,In Progress,Glassdoor,,375.00,USD,Pay Per Removal
tkt_112546,2025-07-16 00:00:00,2025-08-05 00:00:00,cust_000796,Unsuccessful,Other,,500.00,AUD,Pay Per Removal
tkt_112556,2025-09-18 00:00:00,2025-10-04 00:00:00,cust_000796,Unsuccessful,Google,,500.00,AUD,Pay Per Removal
tkt_112566,2025-12-19 00:00:00,2026-01-22 00:00:00,cust_000796,Successful,Other,2026-01-22 00:00:00,500.00,AUD,Pay Per Removal
tkt_112768,2025-07-26 00:00:00,2025-08-25 00:00:00,cust_000797,Successful,Other,2025-08-25 00:00:00,375.00,USD,Pay Per Removal
tkt_112778,2025-08-10 00:00:00,2025-08-15 00:00:00,cust_000797,Unsuccessful,Google,,375.00,USD,Pay Per Removal
tkt_112788,2025-10-10 00:00:00,2025-10-24 00:00:00,cust_000797,Unsuccessful,Google,,375.00,USD,Pay Per Removal
tkt_112982,2025-08-19 00:00:00,2025-09-27 00:00:00,cust_000798,Unsuccessful,Google,,375.00,USD,Pay Per Removal
tkt_112992,2025-11-18 00:00:00,2025-11-21 00:00:00,cust_000798,Not Started,Google,,375.00,USD,Pay Per Removal
tkt_113002,2025-12-13 00:00:00,2025-12-14 00:00:00,cust_000798,Not Started,Other,,375.00,USD,Pay Per Removal
tkt_113084,2026-01-06 00:00:00,2026-01-29 00:00:00,cust_000799,In Progress,Other,,500.00,AUD,Pay Per Removal
tkt_113383,2025-11-01 00:00:00,2025-11-11 00:00:00,cust_000801,Unsuccessful,Google,,500.00,AUD,Pay Per Removal
tkt_113732,2025-07-12 00:00:00,2025-07-25 00:00:00,cust_000804,Unsuccessful,Google,,500.00,AUD,Pay Per Removal
tkt_113742,2025-10-12 00:00:00,2025-10-22 00:00:00,cust_000804,Unsuccessful,Other,,500.00,AUD,Pay Per Removal
tkt_114042,2025-07-16 00:00:00,2025-07-18 00:00:00,cust_000805,Not Started,Google,,500.00,AUD,Pay Per Removal
tkt_114052,2025-08-09 00:00:00,2025-09-24 00:00:00,cust_000805,Unsuccessful,Google,,500.00,AUD,Pay Per Removal
tkt_114062,2025-09-20 00:00:00,2025-10-27 00:00:00,cust_000805,Unsuccessful,Google,,500.00,AUD,Pay Per Removal
tkt_114072,2025-11-26 00:00:00,2025-12-08 00:00:00,cust_000805,Unsuccessful,Other,,500.00,AUD,Pay Per Removal
tkt_114082,2025-12-19 00:00:00,2025-12-21 00:00:00,cust_000805,Not Started,Other,,500.00,AUD,Pay Per Removal
tkt_114092,2026-01-27 00:00:00,2026-01-29 00:00:00,cust_000805,Not Started,Google,,500.00,AUD,Pay Per Removal
tkt_114284,2025-10-07 00:00:00,2025-10-14 00:00:00,cust_000813,Unsuccessful,Other,,375.00,USD,Pay Per Removal
tkt_114550,2025-07-02 00:00:00,2025-08-19 00:00:00,cust_000814,Unsuccessful,Google,,375.00,USD,Pay Per Removal
tkt_114560,2025-09-21 00:00:00,2025-10-01 00:00:00,cust_000814,Unsuccessful,Other,,375.00,USD,Pay Per Removal
tkt_114570,2025-11-10 00:00:00,2025-11-11 00:00:00,cust_000814,Not Started,Google,,375.00,USD,Pay Per Removal
tkt_114580,2025-12-06 00:00:00,2025-12-08 00:00:00,cust_000814,Successful,Google,2025-12-08 00:00:00,375.00,USD,Pay Per Removal
tkt_114649,2025-08-29 00:00:00,2026-01-23 00:00:00,cust_000815,In Progress,Google,,375.00,USD,Pay Per Removal
tkt_114816,2025-09-07 00:00:00,2025-09-28 00:00:00,cust_000816,Unsuccessful,Google,,500.00,AUD,Pay Per Removal
tkt_114826,2025-11-18 00:00:00,2025-12-28 00:00:00,cust_000816,Unsuccessful,Google,,500.00,AUD,Pay Per Removal
tkt_114836,2025-12-01 00:00:00,2026-01-25 00:00:00,cust_000816,In Progress,Other,,500.00,AUD,Pay Per Removal
tkt_114926,2025-09-16 00:00:00,2025-09-27 00:00:00,cust_000539,Successful,Google,2025-09-27 00:00:00,375.00,USD,Pay Per Removal
tkt_115063,2025-08-18 00:00:00,2025-09-01 00:00:00,cust_000817,Unsuccessful,Google,,375.00,USD,Pay Per Removal
tkt_115073,2026-01-08 00:00:00,2026-01-10 00:00:00,cust_000817,Not Started,Google,,375.00,USD,Pay Per Removal
tkt_115219,2025-09-12 00:00:00,2025-10-04 00:00:00,cust_000818,Unsuccessful,Glassdoor,,375.00,USD,Pay Per Removal
tkt_115229,2025-12-23 00:00:00,2026-01-15 00:00:00,cust_000818,In Progress,Glassdoor,,375.00,USD,Pay Per Removal
tkt_115402,2025-08-09 00:00:00,2025-08-11 00:00:00,cust_000819,Not Started,Glassdoor,,375.00,USD,Pay Per Removal
tkt_115412,2025-10-06 00:00:00,2025-10-12 00:00:00,cust_000819,Unsuccessful,Google,,375.00,USD,Pay Per Removal
tkt_115422,2026-01-18 00:00:00,2026-01-20 00:00:00,cust_000819,Not Started,Google,,375.00,USD,Pay Per Removal
tkt_115816,2025-09-14 00:00:00,2025-09-16 00:00:00,cust_000822,Not Started,Other,,375.00,USD,Pay Per Removal
tkt_115826,2025-11-27 00:00:00,2025-12-05 00:00:00,cust_000822,Unsuccessful,Glassdoor,,375.00,USD,Pay Per Removal
tkt_116141,2025-07-12 00:00:00,2025-07-18 00:00:00,cust_000824,Unsuccessful,Google,,375.00,USD,Pay Per Removal
tkt_116151,2025-09-03 00:00:00,2025-09-22 00:00:00,cust_000824,Unsuccessful,Google,,375.00,USD,Pay Per Removal
tkt_116161,2025-10-27 00:00:00,2025-10-27 00:00:00,cust_000824,Not Started,Google,,375.00,USD,Pay Per Removal
tkt_116171,2025-11-23 00:00:00,2025-12-11 00:00:00,cust_000824,Unsuccessful,Google,,375.00,USD,Pay Per Removal
tkt_116181,2026-01-10 00:00:00,2026-01-10 00:00:00,cust_000824,Not Started,Google,,375.00,USD,Pay Per Removal
tkt_116276,2026-01-25 00:00:00,2026-01-25 00:00:00,cust_000825,Not Started,Google,,500.00,AUD,Pay Per Removal
tkt_1165,2025-07-24 00:00:00,2025-08-19 00:00:00,cust_000008,Unsuccessful,Google,,375.00,USD,Pay Per Removal
tkt_116669,2025-07-02 00:00:00,2025-07-16 00:00:00,cust_000828,Unsuccessful,Google,,500.00,AUD,Pay Per Removal
tkt_116679,2025-09-19 00:00:00,2025-09-21 00:00:00,cust_000828,Successful,Google,2025-09-21 00:00:00,500.00,AUD,Pay Per Removal
tkt_116689,2025-11-27 00:00:00,2025-11-28 00:00:00,cust_000828,Successful,Google,2025-11-28 00:00:00,500.00,AUD,Pay Per Removal
tkt_116699,2026-01-31 00:00:00,2026-02-01 00:00:00,cust_000828,In Progress,Google,,500.00,AUD,Pay Per Removal
tkt_1168,2025-09-05 00:00:00,2025-09-05 00:00:00,cust_000008,Not Started,Other,,375.00,USD,Pay Per Removal
tkt_116964,2025-08-03 00:00:00,2025-08-17 00:00:00,cust_000829,Unsuccessful,Other,,500.00,AUD,Pay Per Removal
tkt_116974,2025-10-03 00:00:00,2025-10-08 00:00:00,cust_000829,Unsuccessful,Other,,500.00,AUD,Pay Per Removal
tkt_116984,2025-11-24 00:00:00,2025-12-20 00:00:00,cust_000829,Unsuccessful,Google,,500.00,AUD,Pay Per Removal
tkt_116994,2026-01-26 00:00:00,2026-01-27 00:00:00,cust_000829,In Progress,Other,,500.00,AUD,Pay Per Removal
tkt_117094,2025-07-20 00:00:00,2025-07-28 00:00:00,cust_000830,Successful,Glassdoor,2025-07-28 00:00:00,500.00,AUD,Pay Per Removal
tkt_117269,2025-07-11 00:00:00,2025-07-19 00:00:00,cust_000831,Successful,Google,2025-07-19 00:00:00,500.00,AUD,Pay Per Removal
